Comment,Designator,Footprint,LCSC,Quantity
C10418,USB1,MICRO-USB-SMD_5P-P0.65-H-F_C10418,C10418,1
56u,C2,CP_Radial_D8.0mm_P2.50mm,C106629,1
10u,"C11,C12",C_1206_3216Metric,C13585,2
0.1uF,"C14,C15,C16,C17,C18,C19,C20,C21,C22,C3,C6,C9",C_0603_1608Metric,C14663,12
SM15T33CA,D8,D_SMC,C151281,1
1uF,"C4,C7",C_0603_1608Metric,C15849,2
330p,C10,C_0603_1608Metric,C1664,1
LMR14020,U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C187824,1
4.7u,"C1,C13",C_0603_1608Metric,C19666,2
120,"R7,R8",R_0603_1608Metric,C22787,2
12k,R3,R_0603_1608Metric,C22790,1
1,R1,R_0603_1608Metric,C22936,1
LED,"D12,D15,D16",LED_0805_2012Metric,C2297,3
510,"R5,R6",R_0603_1608Metric,C23193,2
68k,R4,R_0603_1608Metric,C23231,1
10k,"R11,R2",R_0603_1608Metric,C25804,2
WS2812B,"D1,D10,D13,D2,D3,D4,D5,D6,D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795,9
USBLC6-2SC6,U7,SOT-23-6,C2827654,1
2.2u,L1,L_1210_3225Metric,C286757,1
ESP32-S3-MINI-1,U1,ESP32-S3-MINI-1U,C2980299,1
RESET1,"SW1,SW2",SW_SPST_TL3342,C318884,2
10u,L2,L_Sunlord_MWSA0503S,C408412,1
TJA1051T-3,U4,SOIC-8_3.9x4.9mm_P1.27mm,C5342108,1
40,"R10,R12,R13,R14,R16,R17,R18,R9",R_0805_2012Metric,C5355206,8
10nF,"C5,C8",C_0603_1608Metric,C57112,2
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186,1
D_Schottky,"D11,D14,D9",D_SMA,C8678,3
